UNIQUE CODE,MONTH,OPTIONS,LAST,CHANGE,PRIOR SETTLE,OPEN,HIGH,LOW,VOLUME,UPDATED
CLZ3,DEC 2023,Opt,80.52,-0.30 (-0.37%),80.82,80.93,81.05,80.43,"5,513",19:59:01 CT 06 Nov 2023
CLF4,JAN 2024,Opt,80.30,-0.30 (-0.37%),80.60,80.69,80.79,80.21,"1,842",19:59:02 CT 06 Nov 2023
CLG4,FEB 2024,Opt,80.00,-0.32 (-0.40%),80.32,80.43,80.48,79.94,725,19:57:37 CT 06 Nov 2023
CLH4,MAR 2024,Opt,79.64,-0.35 (-0.44%),79.99,80.04,80.08,79.64,508,19:56:38 CT 06 Nov 2023
CLJ4,APR 2024,Opt,79.36,-0.30 (-0.38%),79.66,79.36,79.36,79.36,182,19:55:25 CT 06 Nov 2023
CLK4,MAY 2024,Opt,79.00,-0.30 (-0.38%),79.30,79.31,79.31,79.00,314,19:54:34 CT 06 Nov 2023
CLM4,JUN 2024,Opt,78.61,-0.32 (-0.41%),78.93,78.91,78.95,78.57,538,19:58:28 CT 06 Nov 2023
CLN4,JUL 2024,Opt,78.24,-0.31 (-0.39%),78.55,78.60,78.62,78.20,35,19:37:10 CT 06 Nov 2023
CLQ4,AUG 2024,Opt,-,-,78.15,-,-,-,29,19:10:03 CT 06 Nov 2023
CLU4,SEP 2024,Opt,-,-,77.75,-,-,-,122,19:54:53 CT 06 Nov 2023
CLV4,OCT 2024,Opt,77.00,-0.34 (-0.44%),77.34,77.00,77.00,77.00,95,19:10:02 CT 06 Nov 2023
CLX4,NOV 2024,Opt,-,-,76.94,-,-,-,13,19:04:13 CT 06 Nov 2023
CLZ4,DEC 2024,Opt,76.22,-0.33 (-0.43%),76.55,76.45,76.45,76.20,122,19:58:28 CT 06 Nov 2023
CLF5,JAN 2025,Opt,-,-,76.13,-,-,-,0,18:22:01 CT 06 Nov 2023
CLG5,FEB 2025,Opt,-,-,75.74,-,-,-,0,18:21:01 CT 06 Nov 2023
CLH5,MAR 2025,Opt,-,-,75.36,-,-,-,0,18:21:56 CT 06 Nov 2023
CLJ5,APR 2025,Opt,-,-,75.01,-,-,-,0,18:22:55 CT 06 Nov 2023
CLK5,MAY 2025,Opt,-,-,74.69,-,-,-,0,18:21:28 CT 06 Nov 2023
CLM5,JUN 2025,Opt,74.05,-0.30 (-0.40%),74.35,74.05,74.05,74.05,35,19:52:45 CT 06 Nov 2023
CLN5,JUL 2025,Opt,-,-,73.98,-,-,-,5,19:52:45 CT 06 Nov 2023
CLQ5,AUG 2025,Opt,-,-,73.65,-,-,-,0,18:21:00 CT 06 Nov 2023
CLU5,SEP 2025,Opt,-,-,73.33,-,-,-,0,18:21:44 CT 06 Nov 2023
CLV5,OCT 2025,Opt,-,-,73.03,-,-,-,0,18:22:03 CT 06 Nov 2023
CLX5,NOV 2025,Opt,-,-,72.76,-,-,-,0,18:21:09 CT 06 Nov 2023
CLZ5,DEC 2025,Opt,72.13,-0.34 (-0.47%),72.47,72.33,72.33,72.13,40,19:56:35 CT 06 Nov 2023
CLF6,JAN 2026,Opt,-,-,72.13,-,-,-,0,18:21:36 CT 06 Nov 2023
CLG6,FEB 2026,Opt,-,-,71.82,-,-,-,0,18:21:22 CT 06 Nov 2023
CLH6,MAR 2026,Opt,-,-,71.53,-,-,-,0,18:21:52 CT 06 Nov 2023
CLJ6,APR 2026,Opt,-,-,71.25,-,-,-,0,18:22:43 CT 06 Nov 2023
CLK6,MAY 2026,Opt,-,-,71.00,-,-,-,0,18:21:02 CT 06 Nov 2023
CLM6,JUN 2026,Opt,-,-,70.75,-,-,-,0,18:21:14 CT 06 Nov 2023
CLN6,JUL 2026,Opt,-,-,70.47,-,-,-,0,18:22:19 CT 06 Nov 2023
CLQ6,AUG 2026,Opt,-,-,70.21,-,-,-,0,18:21:51 CT 06 Nov 2023
CLU6,SEP 2026,Opt,-,-,69.97,-,-,-,0,18:21:25 CT 06 Nov 2023
